src,flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate,scheduled_dept_clean,actual_dept_clean,scheduled_arrival_clean,actual_arrival_clean
boston,2011-12-03-AA-3979-CVG-ORD,7:30 AM- Dec 03,7:38 AM- Dec 03,,8:00 AM- Dec 03,7:29 AM- Dec 03,,2003-12-01 07:30:00,2003-12-01 07:38:00,2003-12-01 08:00:00,2003-12-01 07:29:00
panynj,2011-12-30-UA-3515-IAD-MSP,,8:35 AMDec 30,,,9:55 AMDec 30,,,,,
businesstravellogue,2011-12-07-AA-3804-PHL-ORD,02:35 PM  Wed 07-Dec-2011,03:13 PM  Wed 07-Dec-2011,7,04:05 PM  Wed 07-Dec-2011,04:10 PM  Wed 07-Dec-2011,H1A,2011-12-07 02:35:00,2011-12-07 03:13:00,2011-12-07 04:05:00,2011-12-07 04:10:00
flylouisville,2011-12-13-AA-1664-MIA-ATL,10:15 AM  Tue 13-Dec-2011,10:17 AM  Tue 13-Dec-2011,D46,12:10 PM  Tue 13-Dec-2011,12:08 PM  Tue 13-Dec-2011,T11,2011-12-13 10:15:00,2011-12-13 10:17:00,2011-12-13 12:10:00,2011-12-13 12:08:00
boston,2011-12-05-AA-271-MIA-LAX,11:35 AM- Dec 05,11:54 AM- Dec 05,,2:25 PM- Dec 05,2:07 PM- Dec 05,,2005-12-01 11:35:00,2005-12-01 11:54:00,2005-12-01 02:25:00,2005-12-01 02:07:00
airtravelcenter,2011-12-20-UA-37-EDI-EWR,12/20/11 9:05 AM (-00:00),,,12/20/11 11:53 AM (-05:00),,,,,,
flytecomm,2011-12-22-AA-1886-BOS-MIA,,12/22/11 10:58 AM (-05:00),,,12/22/11 2:10 PM (-05:00),,,,,
airtravelcenter,2012-01-03-UA-3050-PHX-CLT,,1/3/12 11:32 AM (-07:00),,,1/3/12 5:06 PM (-05:00),,,,,
flightarrival,2012-01-03-AA-1221-MCO-ORD,2012-01-03 08:00 PM,,,2012-01-03 09:50 PM,,,2012-01-03 08:00:00,,2012-01-03 09:50:00,
foxbusiness,2011-12-24-AA-4307-ORD-DTW,6:45 PM- Dec 24,7:08 PM- Dec 24,Terminal 3,9:10 PM- Dec 24,9:00 PM- Dec 24,Terminal N,2024-12-01 06:45:00,2024-12-01 07:08:00,2024-12-01 09:10:00,2024-12-01 09:00:00
flightaware,2011-12-04-UA-664-ORD-PHL,2011-12-04 01:20PM CST,2011-12-04 01:37PM CST, C29 ,2011-12-04 04:08PM EST,2011-12-04 04:10PM EST, D9 ,,,2011-12-04 16:08:00,2011-12-04 16:10:00
wunderground,2011-12-05-AA-431-MIA-SFO,2011-12-05 08:35AM EST,2011-12-05 08:52AM EST, D3 ,2011-12-05 11:20AM PST,2011-12-05 11:07AM PST, 57 ,2011-12-05 08:35:00,2011-12-05 08:52:00,2011-12-05 11:20:00,2011-12-05 11:07:00
gofox,2011-12-29-UA-3515-IAD-MSP,,8:28 AMDec 29,,,9:53 AMDec 29,,,,,
businesstravellogue,2011-12-12-AA-3756-ORD-SLC,12:15 PM  Mon 12-Dec-2011,12:07 PM  Mon 12-Dec-2011,H3A,02:45 PM  Mon 12-Dec-2011,02:33 PM  Mon 12-Dec-2011,A3,,,,
businesstravellogue,2012-01-03-AA-415-BOS-ORD,,2012-01-03 08:34 AM,B33,,2012-01-03 09:56 AM,K18,,2012-01-03 08:34:00,,2012-01-03 09:56:00
flightaware,2011-12-29-UA-3925-IAD-ORF,2011-12-29 08:42AM EST,2011-12-29 08:52AM EST, A1A ,2011-12-29 09:35AM EST,2011-12-29 09:45AM EST,,2011-12-29 08:42:00,2011-12-29 08:52:00,2011-12-29 09:35:00,2011-12-29 09:45:00
flightwise,2011-12-19-AA-446-DFW-PHL,2011-12-19 11:50AM CST,2011-12-19 12:04PM CST, D40 ,2011-12-19 03:40PM EST,2011-12-19 03:46PM EST, A9 ,,,2011-12-19 15:40:00,2011-12-19 15:46:00
usatoday,2011-12-30-AA-4277-CVG-JFK,12:10 PM- Dec 30,12:12 PM- Dec 30,,2:15 PM- Dec 30,1:45 PM- Dec 30,,2030-12-01 12:10:00,2030-12-01 12:12:00,2030-12-01 02:15:00,2030-12-01 01:45:00
flightview,2011-12-03-AA-2050-ORD-MIA,10:40 AM- Dec 03,11:25 AM- Dec 03,K9,2:45 PM- Dec 03,3:12 PM- Dec 03,Terminal D - D2,2003-12-01 10:40:00,2003-12-01 11:25:00,2003-12-01 02:45:00,2003-12-01 03:12:00
flightview,2011-12-11-UA-2704-DTW-PHX,,11:26 AMDec 11,,,1:19 PMDec 11,,,,,
flights,2012-01-01-UA-3050-PHX-CLT,11:05 AM  Sun 01-Jan-2012,11:21 AM  Sun 01-Jan-2012,A24,04:57 PM  Sun 01-Jan-2012,05:29 PM  Sun 01-Jan-2012,B5,2012-01-01 11:05:00,2012-01-01 11:21:00,2012-01-01 04:57:00,2012-01-01 05:29:00
myrateplan,2011-12-02-AA-4277-CVG-JFK,,12/2/11 12:22 PM (-05:00),,,12/2/11 1:51 PM (-05:00),,,,,
aa,2011-12-03-AA-1007-MIA-PHX,12/03/2011 04:55 PM,12/03/2011 05:11 PM,D36,12/03/2011 08:05 PM,12/03/2011 08:07 PM,4,2011-12-03 04:55:00,2011-12-03 05:11:00,2011-12-03 08:05:00,2011-12-03 08:07:00
airtravelcenter,2011-12-22-AA-1886-BOS-MIA,,12/22/11 10:58 AM (-05:00),,,12/22/11 2:10 PM (-05:00),,,,,
myrateplan,2011-12-04-UA-2830-MCO-CLT,,12/4/11 3:40 PM (-05:00),,,12/4/11 4:55 PM (-05:00),,,,,
quicktrip,2011-12-07-UA-382-IAD-LAX,2011-12-07 12:30 PM,2011-12-07 12:44 PM,,2011-12-07 3:19 PM,2011-12-07 3:06 PM,,2011-12-07 12:30:00,2011-12-07 12:44:00,2011-12-07 03:19:00,2011-12-07 03:06:00
usatoday,2011-12-10-AA-204-LAX-MCO,2011-12-10 11:25 PM,2011-12-10 11:38 PM,,2011-12-10 06:55 AM,2011-12-10 06:38 AM,,2011-12-10 11:25:00,2011-12-10 11:38:00,2011-12-10 06:55:00,2011-12-10 06:38:00
flytecomm,2012-01-02-AA-649-ORD-SNA,,1/2/12 1:32 PM (-06:00),,,1/2/12 3:18 PM (-08:00),,,,,
ua,2011-12-20-UA-248-PHX-ORD,Tue- Dec 20 12:46 PM,Tue- Dec 20 12:46 PM,3,Tue- Dec 20 5:07 PM,Tue- Dec 20 5:13 PM,C29,2020-12-01 12:46:00,2020-12-01 12:46:00,2020-12-01 05:07:00,2020-12-01 05:13:00
wunderground,2011-12-14-UA-257-JFK-SFO,2011-12-14 02:30PM EST,2011-12-14 02:38PM EST, 9 ,2011-12-14 05:50PM PST,2011-12-14 05:12PM PST, 80 ,2011-12-14 14:30:00,2011-12-14 14:38:00,2011-12-14 17:50:00,2011-12-14 17:12:00
foxbusiness,2011-12-22-AA-2312-DFW-DTW,8:25 PMDec 22,,,11:50 PMDec 22,,,,,,
flightaware,2011-12-27-UA-3099-PHX-PHL,2011-12-27 11:55AM MST,2011-12-27 12:15PM MST,,2011-12-27 05:47PM EST,2011-12-27 06:18PM EST,,2011-12-27 11:55:00,,2011-12-27 17:47:00,2011-12-27 18:18:00
aa,2011-12-25-AA-1917-JFK-MCO,December 25- 2011               02:55 PM    ,December 25- 2011               02:55 PM    , 43,December 25- 2011               05:55 PM    ,December 25- 2011               05:37 PM    , 16    ,2011-12-25 02:55:00,2011-12-25 02:55:00,2011-12-25 05:55:00,2011-12-25 05:37:00
flytecomm,2011-12-14-AA-3823-LAX-DEN,12/14/11 9:00 PM (-08:00),,,12/15/11 12:15 AM (-07:00),,,,,,
airtravelcenter,2011-12-03-AA-415-BOS-ORD,,12/3/11 8:47 AM (-05:00),,,12/3/11 10:09 AM (-06:00),,,,,
panynj,2012-01-02-AA-466-IAH-MIA,6:00 AM- Jan 02,6:05 AM- Jan 02,A27,9:20 AM- Jan 02,9:09 AM- Jan 02,Terminal D - D45,2002-01-01 06:00:00,2002-01-01 06:05:00,2002-01-01 09:20:00,2002-01-01 09:09:00
myrateplan,2012-01-02-UA-2708-EWR-CLT,,1/2/12 3:07 PM (-05:00),,,1/2/12 4:49 PM (-05:00),,,,,
panynj,2011-12-03-UA-938-DEN-ORD,,4:31 PMDec 03,,,7:24 PMDec 03,,,,,
travelocity,2011-12-30-UA-2906-PHL-MCO,Dec 30 - 3:50pm,Dec 30 - Contact Airline,Not provided by airline,Dec 30 - 6:23pm,Dec 30 - Contact Airline,Not provided by airline,2030-12-01 15:50:00,,2030-12-01 18:23:00,
orbitz,2012-01-02-AA-484-DFW-MIA,4:15pJan 2,4:14pJan 2, D21,7:55pJan 2,7:46pJan 2, D50,,,,
myrateplan,2011-12-24-AA-643-MIA-ORD,,12/24/11 7:32 AM (-05:00),,,12/24/11 9:21 AM (-06:00),,,,,
myrateplan,2011-12-05-UA-2726-FLL-PHL,,12/5/11 4:02 PM (-05:00),,,12/5/11 6:07 PM (-05:00),,,,,
quicktrip,2011-12-08-AA-85-JFK-SFO,2011-12-08 3:05 PM,2011-12-08 3:12 PM,,2011-12-08 6:30 PM,2011-12-08 6:35 PM,,2011-12-08 03:05:00,2011-12-08 03:12:00,2011-12-08 06:30:00,2011-12-08 06:35:00
panynj,2011-12-30-AA-3468-CVG-MIA,7:00 AM- Dec 30,7:00 AM- Dec 30,Terminal 2,9:55 AM- Dec 30,9:15 AM- Dec 30,Terminal D - D60,2030-12-01 07:00:00,2030-12-01 07:00:00,2030-12-01 09:55:00,2030-12-01 09:15:00
usatoday,2011-12-22-UA-2945-PHL-CLT,12:00 PM- Dec 22,12:14 PM- Dec 22,,1:45 PM- Dec 22,1:35 PM- Dec 22,,2022-12-01 12:00:00,2022-12-01 12:14:00,2022-12-01 01:45:00,2022-12-01 01:35:00
flightview,2011-12-19-AA-3979-CVG-ORD,7:30 AM- Dec 19,7:34 AM- Dec 19,Terminal 2,8:00 AM- Dec 19,7:28 AM- Dec 19,G10,2019-12-01 07:30:00,2019-12-01 07:34:00,2019-12-01 08:00:00,2019-12-01 07:28:00
businesstravellogue,2011-12-31-AA-3809-PHX-LAX,06:00 AM  Sat 31-Dec-2011,07:00 AM  Sat 31-Dec-2011,2,06:40 AM  Sat 31-Dec-2011,07:30 AM  Sat 31-Dec-2011,44F,,,,
panynj,2011-12-27-UA-62-IAH-EWR,,2:48 PMDec 27,,,6:45 PMDec 27,,,,,
helloflight,2011-12-04-AA-1007-MIA-PHX,,12/4/11 5:12 PM (-05:00),,,12/4/11 7:46 PM (-07:00),,,,,
flightarrival,2011-12-07-AA-1221-MCO-ORD,8:00 PM- Dec 07,8:08 PM- Dec 07,,9:50 PM- Dec 07,9:33 PM- Dec 07,,2007-12-01 08:00:00,2007-12-01 08:08:00,2007-12-01 09:50:00,2007-12-01 09:33:00
boston,2011-12-20-AA-1640-MIA-MCO,6:30 PM- Dec 20,Not Available,,7:25 PM- Dec 20,Not Available,,2020-12-01 06:30:00,,2020-12-01 07:25:00,
ua,2012-01-01-UA-37-EWR-MCO,Sun- Jan 1 1:29 PM,Sun- Jan 1 1:30 PM            Delayed,C135,Sun- Jan 1 4:22 PM,Sun- Jan 1 4:15 PM,39,2001-01-01 01:29:00,,2001-01-01 04:22:00,2001-01-01 04:15:00
helloflight,2011-12-08-AA-271-MIA-LAX,,12/8/11 11:45 AM (-05:00),,,12/8/11 2:08 PM (-08:00),,,,,
panynj,2011-12-22-UA-858-PVG-SFO,,1:45 PMDec 22,,,8:02 AMDec 22,,,,,
flylouisville,2011-12-30-AA-4198-ORD-CLE,10:40 AM  Fri 30-Dec-2011,10:35 AM  Fri 30-Dec-2011,H2,12:55 PM  Fri 30-Dec-2011,01:17 PM  Fri 30-Dec-2011,A3,2011-12-30 10:40:00,2011-12-30 10:35:00,2011-12-30 12:55:00,2011-12-30 01:17:00
aa,2012-01-02-AA-4330-CVG-ORD,January 2- 2012               03:35 PM    ,January 2- 2012               04:05 PM    , 5,January 2- 2012               04:00 PM    ,January 2- 2012               04:35 PM    , G10    ,2012-01-02 03:35:00,2012-01-02 04:05:00,2012-01-02 04:00:00,2012-01-02 04:35:00
myrateplan,2012-01-02-AA-4344-ORD-DTW,,1/2/12 12:29 PM (-06:00),,,1/2/12 2:13 PM (-05:00),,,,,
foxbusiness,2011-12-26-UA-843-LAX-ORD,,2:35 PMDec 26,,,8:13 PMDec 26,,,,,
world-flight-tracker,2012-01-03-AA-3979-CVG-ORD,2012-01-03 7:30 AM,2012-01-03 7:33 AM,,2012-01-03 8:00 AM,2012-01-03 8:20 AM,,2012-01-03 07:30:00,2012-01-03 07:33:00,2012-01-03 08:00:00,2012-01-03 08:20:00
world-flight-tracker,2011-12-27-AA-3-JFK-LAX,2011-12-27 12:00 PM,2011-12-27 11:56 AM,,2011-12-27 3:15 PM,2011-12-27 2:49 PM,,2011-12-27 12:00:00,2011-12-27 11:56:00,2011-12-27 03:15:00,2011-12-27 02:49:00
travelocity,2011-12-10-AA-518-MIA-JFK,Dec 10 - 6:30am,Dec 10 - 6:43am,D1,Dec 10 - 9:15am,Dec 10 - 9:03am,38/8,2010-12-01 06:30:00,2010-12-01 06:43:00,2010-12-01 09:15:00,2010-12-01 09:03:00
businesstravellogue,2011-12-16-UA-843-LAX-ORD,,2011-12-16 02:27 PM,73,,2011-12-16 08:17 PM,C15,,2011-12-16 02:27:00,,2011-12-16 08:17:00
quicktrip,2011-12-29-UA-2704-DTW-PHX,2011-12-29 11:15 AM,2011-12-29 11:14 AM,,2011-12-29 1:40 PM,2011-12-29 1:52 PM,,2011-12-29 11:15:00,2011-12-29 11:14:00,2011-12-29 01:40:00,2011-12-29 01:52:00
foxbusiness,2011-12-18-UA-6273-YYC-SFO,,8:30 AMDec 18,,,10:05 AMDec 18,,,,,
ifly,2011-12-11-UA-414-LAX-SFO,2011-12-11 6:00 AM,2011-12-11 6:00 AM,,2011-12-11 7:23 AM,2011-12-11 7:20 AM,,2011-12-11 06:00:00,2011-12-11 06:00:00,2011-12-11 07:23:00,2011-12-11 07:20:00
world-flight-tracker,2011-12-25-UA-3050-PHX-CLT,2011-12-25 11:05 AM,2011-12-25 11:00 AM,,2011-12-25 4:57 PM,2011-12-25 4:48 PM,,2011-12-25 11:05:00,2011-12-25 11:00:00,2011-12-25 04:57:00,2011-12-25 04:48:00
orbitz,2012-01-01-AA-1434-DFW-MCO,7:15aJan 1,7:09aJan 1, C7,10:35aJan 1,10:32aJan 1, 15,,,,
panynj,2011-12-27-UA-2945-PHL-CLT,12:00 PM- Dec 27,12:54 PM- Dec 27,,1:45 PM- Dec 27,2:14 PM- Dec 27,,2027-12-01 12:00:00,2027-12-01 12:54:00,2027-12-01 01:45:00,2027-12-01 02:14:00
myrateplan,2011-12-24-UA-3099-PHX-PHL,,12/24/11 11:58 AM (-07:00),,,12/24/11 5:41 PM (-05:00),,,,,
panynj,2011-12-17-UA-62-IAH-EWR,,2:47 PMDec 17,,,6:41 PMDec 17,,,,,
helloflight,2011-12-07-AA-400-DFW-JFK,,12/7/11 10:53 AM (-06:00),,,12/7/11 2:33 PM (-05:00),,,,,
weather,2011-12-13-UA-2708-EWR-CLT,2011-12-13 02:55 PM,,,2011-12-13 04:53 PM,,,2011-12-13 02:55:00,,2011-12-13 04:53:00,
businesstravellogue,2011-12-04-UA-233-LAX-JFK,04:20 PM  Sun 04-Dec-2011,,,12:29 AM  Mon 05-Dec-2011,,,2011-12-04 04:20:00,,,
orbitz,2011-12-08-AA-1886-BOS-MIA,10:45aDec 8,10:45aDec 8, B31,2:20pDec 8,2:19pDec 8, D23,,,,
gofox,2011-12-09-UA-37-EWR-MCO,,1:59 PMDec 09,,,4:30 PMDec 09,,,,,
allegiantair,2011-12-07-AA-3468-CVG-MIA,7:00 AM- Dec 07,7:25 AM- Dec 07,Terminal 2,9:55 AM- Dec 07,9:47 AM- Dec 07,Terminal D - D60,2007-12-01 07:00:00,2007-12-01 07:25:00,2007-12-01 09:55:00,2007-12-01 09:47:00
flylouisville,2011-12-29-AA-484-DFW-MIA,04:15 PM  Thu 29-Dec-2011,04:15 PM  Thu 29-Dec-2011,D28,07:55 PM  Thu 29-Dec-2011,08:12 PM  Thu 29-Dec-2011,D5,2011-12-29 04:15:00,2011-12-29 04:15:00,2011-12-29 07:55:00,2011-12-29 08:12:00
usatoday,2011-12-01-AA-3756-ORD-SLC,12:15 PM- Dec 01,12:42 PM- Dec 01,,2:45 PM- Dec 01,2:52 PM- Dec 01,,2001-12-01 12:15:00,2001-12-01 12:42:00,2001-12-01 02:45:00,2001-12-01 02:52:00
panynj,2011-12-13-AA-1886-BOS-MIA,,10:58 AMDec 13,,,1:48 PMDec 13,,,,,
usatoday,2011-12-04-AA-789-ORD-DEN,1:05 PM- Dec 04,1:15 PM- Dec 04,,2:35 PM- Dec 04,2:37 PM- Dec 04,,2004-12-01 01:05:00,2004-12-01 01:15:00,2004-12-01 02:35:00,2004-12-01 02:37:00
wunderground,2011-12-01-AA-446-DFW-PHL,2011-12-01 11:50AM CST,2011-12-01 12:13PM CST, D16 ,2011-12-01 03:33PM EST,2011-12-01 03:59PM EST, A9 ,,,2011-12-01 15:33:00,2011-12-01 15:59:00
flights,2011-12-01-AA-3-JFK-LAX,12:00 PM  Thu 01-Dec-2011,12:11 PM  Thu 01-Dec-2011,C44,03:15 PM  Thu 01-Dec-2011,03:16 PM  Thu 01-Dec-2011,48B,2011-12-01 12:00:00,2011-12-01 12:11:00,2011-12-01 03:15:00,2011-12-01 03:16:00
flightwise,2011-12-14-AA-85-JFK-SFO,2011-12-14 03:05PM EST,2011-12-14 04:10PM EST, 41 ,2011-12-14 06:21PM PST,2011-12-14 07:00PM PST, 58B ,2011-12-14 15:05:00,2011-12-14 16:10:00,2011-12-14 18:21:00,2011-12-14 19:00:00
boston,2011-12-09-UA-2704-DTW-PHX,,11:44 AMDec 09,,,1:40 PMDec 09,,,,,
gofox,2011-12-24-UA-2726-FLL-PHL,4:00 PM- Dec 24,4:05 PM- Dec 24,,6:46 PM- Dec 24,6:46 PM- Dec 24,,2024-12-01 04:00:00,2024-12-01 04:05:00,2024-12-01 06:46:00,2024-12-01 06:46:00
myrateplan,2011-12-14-AA-2312-DFW-DTW,12/14/11 8:25 PM (-06:00),,,12/14/11 11:50 PM (-05:00),,,,,,
wunderground,2011-12-22-UA-397-JFK-SFO,2011-12-22 08:25AM EST,2011-12-22 08:33AM EST, 7 ,2011-12-22 11:47AM PST,2011-12-22 11:42AM PST, 85 ,2011-12-22 08:25:00,2011-12-22 08:33:00,2011-12-22 11:47:00,2011-12-22 11:42:00
myrateplan,2011-12-11-AA-2312-DFW-DTW,,12/11/11 8:30 PM (-06:00),,,12/11/11 11:35 PM (-05:00),,,,,
flightstats,2011-12-15-UA-233-LAX-JFK,2011-12-15 4:25 PM,2011-12-15 4:29 PM (Estimated runway),,2011-12-15 12:44 AM,2011-12-15 11:56 PM (Estimated runway),,2011-12-15 04:25:00,,2011-12-15 12:44:00,
travelocity,2011-12-02-AA-643-MIA-ORD,Dec 02 - 7:10am,Dec 02 - 7:10am,D11,Dec 02 - 9:35am,Dec 02 - 9:23am,K13/T3,2002-12-01 07:10:00,2002-12-01 07:10:00,2002-12-01 09:35:00,2002-12-01 09:23:00
mytripandmore,2011-12-09-AA-466-IAH-MIA,Dec 09 - 6:00am,Dec 09 - 6:05am,A27,Dec 09 - 9:20am,Dec 09 - 9:16am,D45,2009-12-01 06:00:00,2009-12-01 06:05:00,2009-12-01 09:20:00,2009-12-01 09:16:00
panynj,2012-01-01-AA-3468-CVG-MIA,7:00 AM- Jan 01,7:06 AM- Jan 01,Terminal 2,9:55 AM- Jan 01,9:39 AM- Jan 01,Terminal D - D60,2001-01-01 07:00:00,2001-01-01 07:06:00,2001-01-01 09:55:00,2001-01-01 09:39:00
flights,2011-12-25-UA-62-IAH-EWR,,2011-12-25 02:27 PM,40,,2011-12-25 06:23 PM,94,,2011-12-25 02:27:00,,2011-12-25 06:23:00
boston,2011-12-18-AA-3809-PHX-LAX,6:00 AM- Dec 18,6:08 AM- Dec 18,,6:40 AM- Dec 18,6:08 AM- Dec 18,,2018-12-01 06:00:00,2018-12-01 06:08:00,2018-12-01 06:40:00,2018-12-01 06:08:00
foxbusiness,2011-12-16-AA-271-MIA-LAX,11:35 AM- Dec 16,11:56 AM- Dec 16,D47,2:25 PM- Dec 16,2:10 PM- Dec 16,Terminal 4 - 48B,2016-12-01 11:35:00,2016-12-01 11:56:00,2016-12-01 02:25:00,2016-12-01 02:10:00
ifly,2011-12-30-AA-3804-PHL-ORD,2011-12-30 2:35 PM,2011-12-30 3:20 PM,,2011-12-30 4:05 PM,2011-12-30 4:21 PM,,2011-12-30 02:35:00,2011-12-30 03:20:00,2011-12-30 04:05:00,2011-12-30 04:21:00
airtravelcenter,2011-12-24-UA-3050-PHX-CLT,12/24/11 11:05 AM (-07:00),,,12/24/11 4:57 PM (-05:00),,,,,,
airtravelcenter,2011-12-24-AA-2312-DFW-DTW,,12/24/11 7:59 PM (-06:00),,,12/24/11 10:52 PM (-05:00),,,,,
helloflight,2011-12-19-AA-446-DFW-PHL,,12/19/11 12:03 PM (-06:00),,,12/19/11 3:32 PM (-05:00),,,,,
flightstats,2011-12-08-UA-3050-PHX-CLT,2011-12-08 11:05 AM,2011-12-08 11:04 AM,,2011-12-08 4:57 PM,2011-12-08 4:43 PM,,2011-12-08 11:05:00,2011-12-08 11:04:00,2011-12-08 04:57:00,2011-12-08 04:43:00
flightexplorer,2011-12-18-AA-3859-IAH-ORD,,12/18/2011 7:27AM CST,,,12/18/2011 9:36AM CST,,,,,
gofox,2011-12-27-AA-85-JFK-SFO,3:05 PM- Dec 27,3:37 PM- Dec 27,,6:30 PM- Dec 27,6:22 PM- Dec 27,,2027-12-01 03:05:00,2027-12-01 03:37:00,2027-12-01 06:30:00,2027-12-01 06:22:00
orbitz,2011-12-08-AA-400-DFW-JFK,10:40aDec 8,10:50aDec 8, D17,2:59pDec 8,2:54pDec 8, 38,,,,
orbitz,2011-12-02-AA-2268-PHX-ORD,7:15aDec 2,7:08aDec 2, 6,11:35aDec 2,11:08aDec 2, H15,,,,
myrateplan,2011-12-17-UA-3373-IAD-PHL,12/17/11 8:30 AM (-05:00),,,12/17/11 9:25 AM (-05:00),,,,,,
weather,2011-12-02-AA-2268-PHX-ORD,2011-12-02 07:15 AM,2011-12-02 07:21 AM,,2011-12-02 11:35 AM,2011-12-02 11:03 AM,,2011-12-02 07:15:00,2011-12-02 07:21:00,2011-12-02 11:35:00,2011-12-02 11:03:00
