Index,Original,Normalized
106,08:25 PM  Wed 14-Dec-2011,2011-12-14 20:25:00
107,6:00 AM- Dec 17,2000-12-17 06:00:00
108,2011-12-18 11:05 AM,2011-12-18 11:05:00
109,2011-12-28 12:00 PM,2011-12-28 12:00:00
110,2011-12-30 04:00PM EST,2011-12-30 16:00:00
111,3:50 PM- Dec 29,2000-12-29 15:50:00
112,2:30 PM- Dec 11,2000-12-11 14:30:00
113,2011-12-09 11:15 AM,2011-12-09 11:15:00
114,2011-12-16 06:59 AM,2011-12-16 06:59:00
115,2011-12-07 08:00 AM,2011-12-07 08:00:00
116,6:00 AM- Jan 01,2000-01-01 06:00:00
117,Dec 10 - 8:35am,2000-12-10 08:35:00
118,2011-12-22 07:10AM PST,2011-12-22 07:10:00
119,2011-12-28 7:35 AM,2011-12-28 07:35:00
120,7:10 AM- Dec 19,2000-12-19 07:10:00
121,2011-12-16 07:30AM EST,2011-12-16 07:30:00
122,2011-12-25 04:25 PM,2011-12-25 16:25:00
123,12:10 PM- Jan 03,2000-01-03 12:10:00
124,9:05 AM- Dec 28,2000-12-28 09:05:00
125,2011-12-30 2:10 PM,2011-12-30 14:10:00
126,07:30 AM  Wed 07-Dec-2011,2011-12-07 07:30:00
127,10:37 AM- Dec 17,2000-12-17 10:37:00
128,2:30 PM- Dec 02,2000-12-02 14:30:00
129,Fri- Dec 16 12:20 PM,2000-12-16 12:20:00
130,December 31- 2011               12:15 PM,2011-12-31 12:15:00
131,December 19- 2011               10:45 AM,2011-12-19 10:45:00
132,4:00 PM- Jan 03,2000-01-03 16:00:00
133,11:55 PM- Dec 10,2000-12-10 23:55:00
134,2011-12-10 11:45 AM,2011-12-10 11:45:00
135,02:30 PM  Wed 14-Dec-2011,2011-12-14 14:30:00
136,2011-12-19 8:00 PM,2011-12-19 20:00:00
137,11:05 AM- Dec 29,2000-12-29 11:05:00
138,6:30 AM- Dec 03,2000-12-03 06:30:00
139,2011-12-20 8:30 AM,2011-12-20 08:30:00
140,2011-12-19 1:05 PM,2011-12-19 13:05:00
141,4:00pDec 24,2000-12-24 16:00:00
142,2011-12-19 11:05 AM,2011-12-19 11:05:00
143,4:00 PM- Dec 18,2000-12-18 16:00:00
144,2011-12-25 06:45PM CST,2011-12-25 18:45:00
145,07:15 AM  Wed 07-Dec-2011,2011-12-07 07:15:00
146,2011-12-12 07:53 AM,2011-12-12 07:53:00
147,2011-12-02 07:35 AM,2011-12-02 07:35:00
148,2011-12-09 1:00 PM,2011-12-09 13:00:00
149,2011-12-24 11:35 AM,2011-12-24 11:35:00
150,2011-12-26 2:35 PM,2011-12-26 14:35:00
151,2011-12-02 01:29PM EST,2011-12-02 13:29:00
152,December 13- 2011               12:10 PM,2011-12-13 12:10:00
153,06:59 AM  Tue 27-Dec-2011,2011-12-27 06:59:00
154,2011-12-20 07:25 AM,2011-12-20 07:25:00
155,4:55pDec 26,2000-12-26 16:55:00
156,December 25- 2011               04:55 PM,2011-12-25 16:55:00
157,2011-12-12 04:15PM CST,2011-12-12 16:15:00
158,11:35 AM- Dec 10,2000-12-10 11:35:00
159,2011-12-18 4:00 PM,2011-12-18 16:00:00
160,11:35 AM  Thu 22-Dec-2011,2011-12-22 11:35:00
161,2011-12-22 2:35 PM,2011-12-22 14:35:00
162,Dec 09 - 6:45am,2000-12-09 06:45:00
163,2011-12-13 06:00AM CST,2011-12-13 06:00:00
164,6:00 AM- Dec 13,2000-12-13 06:00:00
165,2011-12-29 11:55PM PST,2011-12-29 23:55:00
166,2011-12-31 11:25PM PST,2011-12-31 23:25:00
167,12:00 PM- Dec 25,2000-12-25 12:00:00
168,2011-12-29 7:10 AM,2011-12-29 07:10:00
169,Dec 28 - 4:00pm,2000-12-28 16:00:00
170,2011-12-10 6:30 PM,2011-12-10 18:30:00
171,2011-12-09 11:55AM MST,2011-12-09 11:55:00
172,Dec 31 - 7:10am,2000-12-31 07:10:00
173,12:00 PM- Jan 01,2000-01-01 12:00:00
174,08:00 AM  Wed 07-Dec-2011,2011-12-07 08:00:00
175,2011-12-02 11:05 AM,2011-12-02 11:05:00
176,Tue- Dec 27 10:37 AM,2000-12-27 10:37:00
177,2011-12-19 7:25 AM,2011-12-19 07:25:00
178,4:00 PM- Dec 07,2000-12-07 16:00:00
179,2011-12-22 12:00 PM,2011-12-22 12:00:00
180,07:10 AM  Fri 02-Dec-2011,2011-12-02 07:10:00
181,2011-12-17 7:10 AM,2011-12-17 07:10:00
182,6:45 AM- Dec 29,2000-12-29 06:45:00
183,2012-01-02 11:05 AM,2012-01-02 11:05:00
184,2011-12-11 11:55 PM,2011-12-11 23:55:00
185,08:00 AM  Thu 01-Dec-2011,2011-12-01 08:00:00
186,2011-12-10 10:39AM PST,2011-12-10 10:39:00
187,Wed- Dec 14 8:29 AM,2000-12-14 08:29:00
188,2011-12-09 08:20PM MST,2011-12-09 08:20:00
189,2011-12-07 4:25 PM,2011-12-07 16:25:00
190,12:10 PM- Dec 20,2000-12-20 12:10:00
191,03:05 PM  Sat 03-Dec-2011,2011-12-03 15:05:00
192,6:00 AM- Jan 03,2000-01-03 06:00:00
193,2011-12-10 7:10 AM,2011-12-10 07:10:00
194,04:00 PM  Fri 02-Dec-2011,2011-12-02 16:00:00
195,04:25 PM  Mon 26-Dec-2011,2011-12-26 16:25:00
196,12:15 PM  Fri 02-Dec-2011,2011-12-02 12:15:00
197,1:05 PM- Dec 17,2000-12-17 13:05:00
198,1:30 PM- Jan 01,2000-01-01 13:30:00
199,6:13aDec 4,2000-12-04 06:13:00
200,4:15pDec 22,2000-12-22 16:15:00
201,4:15 PM- Dec 02,2000-12-02 16:15:00
202,2011-12-25 06:30PM EST,2011-12-25 18:30:00
203,2011-12-30 07:10AM EST,2011-12-30 07:10:00
204,6:45 AM- Dec 10,2000-12-10 06:45:00
205,2011-12-03 12:10 PM,2011-12-03 12:10:00
206,12/11/11 8:55 AM (-06:00),2011-12-11 08:55:00
207,07:45 PM  Sun 18-Dec-2011,2011-12-18 07:45:00
208,Dec 09 - 1:30pm,2000-12-09 13:30:00
209,Dec 29 - 12:00noon,2000-12-29 12:00:00
210,7:10 AM- Dec 03,2000-12-03 07:10:00
211,9:00 PM- Dec 13,2000-12-13 21:00:00
212,2011-12-07 04:16 PM,2011-12-07 16:16:00
213,2011-12-09 3:50 PM,2011-12-09 03:50:00
214,2:30 PM- Dec 16,2000-12-16 14:30:00
215,2011-12-08 08:20PM MST,2011-12-08 20:20:00
216,4:15 PM- Dec 16,2000-12-16 16:15:00
217,07:10 AM  Thu 29-Dec-2011,2011-12-29 07:10:00
218,12/16/11 1:30 PM (-06:00),2011-12-16 13:30:00
219,12/25/11 1:29 PM (-05:00),2011-12-25 13:29:00
220,10:40aDec 13,2000-12-13 10:40:00
221,December 17- 2011               06:45 AM,2011-12-17 06:45:00
222,2011-12-22 08:35 AM,2011-12-22 08:35:00
223,01:00 PM  Sat 31-Dec-2011,2011-12-31 13:00:00
224,2011-12-25 8:42 AM,2011-12-25 08:42:00
225,7:00 AM- Dec 18,2000-12-18 07:00:00
226,2011-12-01 02:30PM EST,2011-12-01 14:30:00
227,2:55pDec 28,2000-12-28 14:55:00
228,2012-01-03 11:25 PM,2012-01-03 23:25:00
229,2012-01-01 2:55 PM,2012-01-01 14:55:00
230,2011-12-16 08:42AM EST,2011-12-16 08:42:00
231,7:15 AM- Dec 31,2000-12-31 07:15:00
232,1:27 PM- Dec 13,2000-12-13 13:27:00
233,02:30 PM  Thu 01-Dec-2011,2011-12-01 14:30:00
234,12:15pDec 27,2000-12-27 12:15:00
235,2011-12-09 3:05 PM,2011-12-09 03:05:00
236,2011-12-20 10:40AM CST,2011-12-20 10:40:00
237,2012-01-03 2:55 PM,2012-01-03 14:55:00
238,2011-12-27 1:05 PM,2011-12-27 13:05:00
239,2011-12-09 04:25 PM,2011-12-09 04:25:00
240,7:10 AM- Dec 30,2000-12-30 07:10:00
241,Mon- Dec 5 11:05 AM,2000-12-05 11:05:00
242,2012-01-02 3:27 PM,2012-01-02 03:27:00
243,12:00 PM- Dec 28,2000-12-28 12:00:00
244,7:45 PM- Jan 01,2000-01-01 19:45:00
245,7:15 AM- Jan 01,2000-01-01 07:15:00
246,2012-01-02 07:15 AM,2012-01-02 07:15:00
247,12:15 PM- Jan 02,2000-01-02 12:15:00
248,1:05pDec 24,2000-12-24 13:05:00
249,9:00 PM- Dec 19,2000-12-19 21:00:00
250,11:05 AM  Tue 13-Dec-2011,2011-12-13 11:05:00
251,1:05 PMDec 30,2000-12-30 13:05:00
252,12/01/2011 02:35 PM,2011-12-01 14:35:00
253,2011-12-04 11:45 AM,2011-12-04 11:45:00
254,4:15 PM- Jan 02,2000-01-02 16:15:00
255,2012-01-03 06:30AM EST,2012-01-03 06:30:00
256,8:25 PMJan 02,2000-01-02 20:25:00
257,2011-12-08 11:55 PM,2011-12-08 23:55:00
258,7:30 AM- Dec 16,2000-12-16 07:30:00
259,2011-12-24 11:55AM MST,2011-12-24 11:55:00
260,2011-12-25 02:55 PM,2011-12-25 14:55:00
261,2011-12-11 06:45 PM,2011-12-11 06:45:00
262,2011-12-16 01:30PM CST,2011-12-16 13:30:00
263,12/25/11 3:35 PM (-05:00),2011-12-25 15:35:00
264,8:05pDec 17,2000-12-17 20:05:00
265,10:40 AM- Dec 07,2000-12-07 10:40:00
266,2011-12-07 7:10 AM,2011-12-07 07:10:00
267,2011-12-30 07:00AM EST,2011-12-30 07:00:00
268,2011-12-28 3:50 PM,2011-12-28 15:50:00
269,6:00 AM- Dec 28,2000-12-28 06:00:00
270,11:55 AM- Dec 11,2000-12-11 11:55:00
271,12:00 PM- Jan 03,2000-01-03 12:00:00
272,2011-12-12 10:40 AM,2011-12-12 10:40:00
273,Tue- Dec 20 8:25 AM,2000-12-20 08:25:00
274,7:10 AM- Dec 02,2000-12-02 07:10:00
275,6:59 AM- Dec 17,2000-12-17 06:59:00
276,2011-12-31 11:35 AM,2011-12-31 11:35:00
277,2011-12-13 11:35 AM,2011-12-13 11:35:00
278,12:10 PM  Fri 02-Dec-2011,2011-12-02 12:10:00
279,11:25 PM- Dec 14,2000-12-14 23:25:00
280,Mon- Jan 2 2:10 PM,2000-01-02 14:10:00
281,December 22- 2011               07:10 AM,2011-12-22 07:10:00
282,December 10- 2011               07:00 AM,2011-12-10 07:00:00
283,2011-12-08 8:20 PM,2011-12-08 20:20:00
284,2012-01-01 07:10 AM,2012-01-01 07:10:00
285,2011-12-05 7:15 AM,2011-12-05 07:15:00
286,6:30 AM- Dec 09,2000-12-09 06:30:00
287,7:10 AM- Dec 13,2000-12-13 07:10:00
288,2012-01-03 01:45 PM,2012-01-03 13:45:00
289,6:45 AM- Dec 26,2000-12-26 06:45:00
290,11:50 AM- Dec 25,2000-12-25 11:50:00
291,07:10 AM  Mon 05-Dec-2011,2011-12-05 07:10:00
292,2011-12-30 11:35AM EST,2011-12-30 11:35:00
293,10:15 AMDec 07,2000-12-07 10:15:00
294,2011-12-29 10:40 AM,2011-12-29 10:40:00
295,12:10pDec 31,2000-12-31 12:10:00
296,11:25 PM- Dec 28,2000-12-28 23:25:00
297,2011-12-20 12:00 PM,2011-12-20 12:00:00
298,2012-01-03 11:50AM CST,2012-01-03 11:50:00
299,2012-01-02 03:05PM EST,2012-01-02 03:05:00
300,2:55pDec 14,2000-12-14 14:55:00
301,2011-12-28 04:15 PM,2011-12-28 04:15:00
302,December 8- 2011               01:00 PM,2011-12-08 13:00:00
303,7:15 AM- Dec 30,2000-12-30 07:15:00
304,2011-12-17 06:45 AM,2011-12-17 06:45:00
305,08:35 AM  Fri 30-Dec-2011,2011-12-30 08:35:00
306,11:55 PM- Dec 19,2000-12-19 23:55:00
307,2011-12-25 07:10AM EST,2011-12-25 07:10:00
308,2011-12-04 3:05 PM,2011-12-04 03:05:00
309,06:00 AM  Thu 01-Dec-2011,2011-12-01 06:00:00
310,8:25 AM- Dec 30,2000-12-30 08:25:00
311,2012-01-03 07:15 AM,2012-01-03 07:15:00
312,7:15 AM- Dec 16,2000-12-16 07:15:00
313,7:10 AM- Dec 05,2000-12-05 07:10:00
314,2011-12-09 04:25PM PST,2011-12-09 04:25:00
315,06:30 AM  Mon 12-Dec-2011,2011-12-12 06:30:00
316,2011-12-18 1:00 PM,2011-12-18 13:00:00
317,Dec 01 - 2:55pm,2000-12-01 14:55:00
318,9:00 PM- Jan 01,2000-01-01 21:00:00
319,2011-12-11 2:55 PM,2011-12-11 14:55:00
320,07:10 AM  Wed 28-Dec-2011,2011-12-28 07:10:00
321,2011-12-05 11:05 AM,2011-12-05 11:05:00
322,3:50 PM- Dec 25,2000-12-25 15:50:00
323,12/1/11 8:55 AM (-06:00),2011-12-01 08:55:00
324,11:50 AM- Dec 27,2000-12-27 11:50:00
325,2011-12-19 1:29 PM,2011-12-19 13:29:00
326,2011-12-13 08:35 AM,2011-12-13 08:35:00
327,2011-12-22 1:30 PM,2011-12-22 13:30:00
328,2011-12-04 07:10AM EST,2011-12-04 07:10:00
329,2011-12-13 1:27 PM,2011-12-13 13:27:00
330,11:05 AM  Sat 24-Dec-2011,2011-12-24 11:05:00
331,2011-12-15 11:55 PM,2011-12-15 23:55:00
332,2:35 PM- Jan 03,2000-01-03 14:35:00
333,December 12- 2011               07:10 AM,2011-12-12 07:10:00
334,06:30 PM  Sun 01-Jan-2012,2012-01-01 06:30:00
335,12/17/11 11:15 AM (-05:00),2011-12-17 11:15:00
336,8:00 PM- Dec 03,2000-12-03 20:00:00
337,10:40 AM- Dec 22,2000-12-22 10:40:00
338,7:55 AM- Dec 20,2000-12-20 07:55:00
339,Dec 25 - 6:30pm,2000-12-25 18:30:00
340,12/04/2011 10:40 AM,2011-12-04 10:40:00
341,6:45 AM- Dec 14,2000-12-14 06:45:00
342,2012-01-01 12:36PM CST,2012-01-01 12:36:00
343,11:55aDec 24,2000-12-24 11:55:00
344,11:55 AM  Thu 01-Dec-2011,2011-12-01 11:55:00
345,02:55 PM  Sun 25-Dec-2011,2011-12-25 14:55:00
346,7:15 AM- Dec 13,2000-12-13 07:15:00
347,9:00 PM- Dec 12,2000-12-12 21:00:00
348,12:10 PM  Wed 07-Dec-2011,2011-12-07 12:10:00
349,4:00 PM- Dec 01,2000-12-01 16:00:00
350,3:05 PM- Dec 08,2000-12-08 15:05:00
351,2011-12-14 12:00 PM,2011-12-14 12:00:00
352,2011-12-07 09:05 AM,2011-12-07 09:05:00
353,11:55 PM- Dec 11,2000-12-11 23:55:00
354,11:55 AM  Mon 19-Dec-2011,2011-12-19 11:55:00
355,2011-12-18 6:30 AM,2011-12-18 06:30:00
356,Dec 08 - 11:55pm,2000-12-08 23:55:00
357,12/22/2011 12:54PM MST,2011-12-22 12:54:00
358,December 30- 2011               10:40 AM,2011-12-30 10:40:00
359,10:15 AM- Dec 09,2000-12-09 10:15:00
360,12:00 PM  Sat 31-Dec-2011,2011-12-31 12:00:00
361,6:00 AM- Dec 22,2000-12-22 06:00:00
362,2011-12-01 12:00 PM,2011-12-01 12:00:00
363,11:55 AM  Mon 12-Dec-2011,2011-12-12 11:55:00
364,2011-12-20 2:10 PM,2011-12-20 14:10:00
365,06:45 PM  Tue 20-Dec-2011,2011-12-20 06:45:00
366,2:30 PM- Dec 29,2000-12-29 14:30:00
367,2011-12-14 3:27 PM,2011-12-14 03:27:00
368,11:55 AM- Dec 05,2000-12-05 11:55:00
369,7:10aDec 19,2000-12-19 07:10:00
370,2011-12-01 2:55 PM,2011-12-01 14:55:00
371,12:00 PM- Dec 19,2000-12-19 12:00:00
372,Dec 28 - 2:55pm,2000-12-28 14:55:00
373,4:25 PM- Dec 09,2000-12-09 16:25:00
374,2012-01-03 12:15 PM,2012-01-03 12:15:00
375,12:15 PM- Dec 16,2000-12-16 12:15:00
376,1:29pJan 2,2000-01-02 13:29:00
377,2011-12-20 11:45 AM,2011-12-20 11:45:00
378,2011-12-28 08:00 PM,2011-12-28 20:00:00
379,2011-12-15 6:00 AM,2011-12-15 06:00:00
380,2011-12-04 10:40 AM,2011-12-04 10:40:00
381,7:30 AM- Dec 09,2000-12-09 07:30:00
382,7:30 AM- Dec 05,2000-12-05 07:30:00
383,2011-12-30 07:10AM CST,2011-12-30 07:10:00
384,12/04/2011 07:30 AM,2011-12-04 07:30:00
385,December 11- 2011               10:40 AM,2011-12-11 10:40:00
386,3:50pDec 24,2000-12-24 15:50:00
387,2011-12-14 12:30 PM,2011-12-14 12:30:00
388,2011-12-19 12:52 PM,2011-12-19 12:52:00
389,2011-12-07 6:00 AM,2011-12-07 06:00:00
390,6:45aDec 8,2000-12-08 06:45:00
391,2011-12-27 2:35 PM,2011-12-27 14:35:00
392,2011-12-26 4:55 PM,2011-12-26 16:55:00
393,Dec 15 - Not Available,2000-12-15 00:00:00
394,2011-12-01 7:30 AM,2011-12-01 07:30:00
395,12/04/2011 12:15 PM,2011-12-04 12:15:00
396,December 27- 2011               09:00 PM,2011-12-27 09:00:00
397,8:35 AM- Dec 29,2000-12-29 08:35:00
398,2011-12-24 04:55PM EST,2011-12-24 16:55:00
399,12:15 PM  Thu 08-Dec-2011,2011-12-08 12:15:00
400,12/11/11 3:35 PM (-05:00),2011-12-11 15:35:00
401,3:27 PM- Dec 24,2000-12-24 15:27:00
402,2011-12-22 07:10AM EST,2011-12-22 07:10:00
403,2011-12-28 01:00PM CST,2011-12-28 13:00:00
404,2011-12-20 06:00AM CST,2011-12-20 06:00:00
405,03:50 PM  Wed 14-Dec-2011,2011-12-14 15:50:00
406,2011-12-11 7:45 PM,2011-12-11 19:45:00
407,07:10 AM  Sun 04-Dec-2011,2011-12-04 07:10:00
408,2011-12-19 12:20 PM,2011-12-19 12:20:00
409,2011-12-11 12:30PM EST,2011-12-11 12:30:00
410,2011-12-17 01:30PM CST,2011-12-17 13:30:00
411,2011-12-01 11:35AM EST,2011-12-01 11:35:00
412,04:00 PM  Tue 20-Dec-2011,2011-12-20 16:00:00
413,4:00 PM- Dec 12,2000-12-12 16:00:00
414,11:55 PM  Thu 22-Dec-2011,2011-12-22 23:55:00
415,12:52pDec 29,2000-12-29 12:52:00
416,2012-01-01 02:30 PM,2012-01-01 14:30:00
417,2011-12-27 8:30 AM,2011-12-27 08:30:00
418,2011-12-19 11:13 PM,2011-12-19 23:13:00
419,6:45 PM- Dec 25,2000-12-25 18:45:00
420,3:50 PM- Dec 31,2000-12-31 15:50:00
421,2012-01-02 3:54 PM,2012-01-02 03:54:00
422,2011-12-22 12:52 PM,2011-12-22 12:52:00
423,2011-12-27 7:15 AM,2011-12-27 07:15:00
424,2011-12-16 08:00PM EST,2011-12-16 20:00:00
425,Dec 27 - 11:15am,2000-12-27 11:15:00
426,2011-12-08 1:05 PM,2011-12-08 13:05:00
427,2011-12-17 7:30 AM,2011-12-17 07:30:00
428,7:45 PM- Dec 16,2000-12-16 19:45:00
429,9:00pDec 25,2000-12-25 21:00:00
430,7:00 AM- Dec 13,2000-12-13 07:00:00
431,10:40 AM  Fri 09-Dec-2011,2011-12-09 10:40:00
432,December 24- 2011               04:00 PM,2011-12-24 16:00:00
433,11:55 AM- Dec 20,2000-12-20 11:55:00
434,8:42aJan 1,2000-01-01 08:42:00
435,2011-12-24 2:35 PM,2011-12-24 14:35:00
436,7:15aDec 11,2000-12-11 07:15:00
437,8:00 PM- Jan 03,2000-01-03 20:00:00
438,2011-12-26 12:00 PM,2011-12-26 12:00:00
439,2011-12-28 12:15 PM,2011-12-28 12:15:00
440,Mon- Dec 19 1:45 PM,2000-12-19 13:45:00
441,10:15 AM- Dec 18,2000-12-18 10:15:00
442,2011-12-19 7:10 AM,2011-12-19 07:10:00
443,07:15 AM  Fri 02-Dec-2011,2011-12-02 07:15:00
444,2011-12-19 08:25 PM,2011-12-19 20:25:00
445,2:55pDec 30,2000-12-30 14:55:00
446,7:55 AM- Dec 05,2000-12-05 07:55:00
447,11:35 AM- Dec 24,2000-12-24 11:35:00
448,1:00 PM- Dec 07,2000-12-07 13:00:00
449,3:27 PM- Dec 12,2000-12-12 15:27:00
450,11:55 AM- Dec 30,2000-12-30 11:55:00
451,6:30 PM- Dec 13,2000-12-13 18:30:00
452,2011-12-11 11:55PM PST,2011-12-11 23:55:00
453,06:30 AM  Mon 02-Jan-2012,2012-01-02 06:30:00
454,Dec 09 - 11:55pm,2000-12-09 23:55:00
455,2011-12-28 1:00 pm,2011-12-28 13:00:00
456,07:30 AM  Sat 31-Dec-2011,2011-12-31 07:30:00
457,12/20/11 2:30 PM (-06:00),2011-12-20 14:30:00
458,December 12- 2011               07:30 AM,2011-12-12 07:30:00
459,2011-12-10 09:05AM CST,2011-12-10 09:05:00
460,4:00pJan 2,2000-01-02 16:00:00
461,2011-12-30 12:10PM EST,2011-12-30 12:10:00
462,11:25 PM  Wed 14-Dec-2011,2011-12-14 23:25:00
463,3:35pDec 26,2000-12-26 15:35:00
464,2011-12-08 07:05 AM,2011-12-08 07:05:00
465,Dec 24 - 4:00pm,2000-12-24 16:00:00
466,4:15 PM- Dec 27,2000-12-27 16:15:00
467,2011-12-17 08:00PM EST,2011-12-17 20:00:00
468,Dec 28 - 3:50pm,2000-12-28 15:50:00
469,07:10 AM  Mon 12-Dec-2011,2011-12-12 07:10:00
470,2011-12-18 08:35 AM,2011-12-18 08:35:00
471,2012-01-03 8:25 pm,2012-01-03 20:25:00
472,12:52 PMDec 26,2000-12-26 12:52:00
473,7:15 AM- Dec 22,2000-12-22 07:15:00
474,4:55pDec 18,2000-12-18 16:55:00
475,2011-12-09 8:42 AM,2011-12-09 08:42:00
